id_evento,nombre_evento,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link
772,Museo Nacional de Ciencias Naturales,Naturales,2025-07-24 00:00:00,Exposición,Movilidad reducida,2,2,Al aire libre,Desde 20€,https://www.mncn.csic.es/
773,Dinópolis Teruel,Teruel,2025-02-14 00:00:00,Exposición,Movilidad reducida,2,0,Al aire libre,Gratis,https://www.dinopolis.com/
774,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-12-30 00:00:00,Festival,Auditiva,3,8,Cubierto,Gratis,https://www.aquariumbcn.com/
775,CaixaForum Madrid,CaixaForum Madrid,2025-02-21 00:00:00,Festival,Ninguna,4,8,Cubierto,Gratis,https://caixaforum.org/es/madrid
776,Feria Medieval Ibiza,Ibiza,2025-08-14 00:00:00,Espectáculo,Auditiva,5,5,Cubierto,Gratis,https://ibiza.travel/
777,Isla Mágica Sevilla,Mágica Sevilla,2025-12-18 00:00:00,Exposición,Movilidad reducida,2,5,Cubierto,Desde 10€,https://www.islamagica.es/
778,Jurassic World Experience Madrid,Experience Madrid,2025-04-09 00:00:00,Literatura,Ninguna,2,0,Cubierto,Desde 20€,https://jurassicworldexperience.es/
779,Dinópolis Teruel,Teruel,2025-02-17 00:00:00,Exposición,Cognitiva,2,0,Cubierto,Desde 10€,https://www.dinopolis.com/
780,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-08-25 00:00:00,Festival,Ninguna,4,8,Al aire libre,Desde 5€,https://www.madrid.es/portales/munimadrid
781,PortAventura World,World,2025-08-16 00:00:00,Espectáculo,Cognitiva,4,0,Al aire libre,Desde 20€,https://www.portaventuraworld.com/
782,Teleférico de Madrid,de Madrid,2025-11-29 00:00:00,Literatura,Ninguna,1,5,Cubierto,Desde 5€,https://teleferico.emtmadrid.es/
783,Teleférico de Madrid,de Madrid,2025-01-24 00:00:00,Espectáculo,Movilidad reducida,4,8,Al aire libre,Desde 20€,https://teleferico.emtmadrid.es/
784,Ciudad de las Artes y las Ciencias Valencia,Ciencias Valencia,2025-12-14 00:00:00,Exposición,Cognitiva,1,0,Cubierto,Por confirmar,https://cac.es/
785,CaixaForum Barcelona,CaixaForum Barcelona,2025-09-22 00:00:00,Parque Temático,Visual,3,5,Al aire libre,Gratis,https://caixaforum.org/es/barcelona
786,Laberinto de Villapresente Cantabria,Cantabria,2025-01-26 00:00:00,Museo,Auditiva,1,2,Cubierto,Desde 20€,https://laberintodevillapresente.es/
787,Museo de Cera de Madrid,de Madrid,2025-08-26 00:00:00,Museo,Cognitiva,2,2,Al aire libre,Desde 10€,https://www.museoceramadrid.com/
788,Jurassic World Experience Madrid,Experience Madrid,2025-04-19 00:00:00,Literatura,Cognitiva,1,2,Al aire libre,Desde 20€,https://jurassicworldexperience.es/
789,CaixaForum Barcelona,CaixaForum Barcelona,2025-03-19 00:00:00,Espectáculo,Visual,5,5,Cubierto,Desde 5€,https://caixaforum.org/es/barcelona
790,Feria Medieval Ibiza,Ibiza,2025-08-14 00:00:00,Literatura,Movilidad reducida,1,2,Al aire libre,Por confirmar,https://ibiza.travel/
791,Jurassic World Experience Madrid,Experience Madrid,2025-01-25 00:00:00,Concierto,Visual,5,0,Al aire libre,Desde 5€,https://jurassicworldexperience.es/
792,Museo Interactivo de la Música Málaga,Málaga,2025-10-31 00:00:00,Festival,Ninguna,3,8,Cubierto,Desde 20€,https://www.musicaenaccion.com/
793,Parque Faunia Madrid,Faunia Madrid,2025-06-08 00:00:00,Espectáculo,Cognitiva,5,0,Cubierto,Por confirmar,https://www.faunia.es/
794,Museo Naval de Madrid,de Madrid,2025-05-22 00:00:00,Festival,Cognitiva,5,8,Cubierto,Desde 5€,https://www.armada.mde.es/MuseoNaval/
795,Museo del Chocolate Astorga,Astorga,2025-06-13 00:00:00,Museo,Cognitiva,2,2,Cubierto,Desde 20€,https://museodelchocolateastorga.com/
796,Parque Faunia Madrid,Faunia Madrid,2025-03-10 00:00:00,Literatura,Movilidad reducida,2,8,Al aire libre,Desde 10€,https://www.faunia.es/
797,Familyland Tres Cantos,Cantos,2025-01-08 00:00:00,Parque Temático,Ninguna,4,0,Cubierto,Desde 5€,https://familyland.es/
798,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-11-05 00:00:00,Espectáculo,Visual,4,5,Cubierto,Desde 20€,https://parquedecabarceno.com/
799,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-02-15 00:00:00,Concierto,Auditiva,5,5,Al aire libre,Desde 20€,https://www.madrid.es/portales/munimadrid
800,Museo del Chocolate Astorga,Astorga,2025-05-30 00:00:00,Literatura,Visual,1,0,Al aire libre,Desde 5€,https://museodelchocolateastorga.com/
801,Festival Pirineos Sur,Sur,2025-08-17 00:00:00,Parque Temático,Visual,4,0,Al aire libre,Por confirmar,https://pirineos-sur.es/
802,Museo Naval de Madrid,de Madrid,2025-01-14 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 10€,https://www.armada.mde.es/MuseoNaval/
803,Laberinto de Villapresente Cantabria,Cantabria,2025-04-01 00:00:00,Festival,Auditiva,5,0,Cubierto,Por confirmar,https://laberintodevillapresente.es/
804,Jurassic World Experience Madrid,Experience Madrid,2025-04-04 00:00:00,Exposición,Ninguna,2,8,Al aire libre,Por confirmar,https://jurassicworldexperience.es/
805,Festival Emérita Lúdica Mérida,Mérida,2025-03-31 00:00:00,Espectáculo,Ninguna,4,0,Al aire libre,Gratis,https://meridaludica.com/
806,Maratón de los Cuentos Guadalajara,Guadalajara,2025-04-07 00:00:00,Festival,Visual,3,0,Al aire libre,Gratis,https://www.maratondeloscuentos.org/
807,Museo del Prado actividades familiares,familiares,2025-06-19 00:00:00,Espectáculo,Movilidad reducida,3,8,Cubierto,Desde 10€,https://www.museodelprado.es/
808,Museo del Prado actividades familiares,familiares,2025-05-05 00:00:00,Concierto,Ninguna,4,8,Cubierto,Por confirmar,https://www.museodelprado.es/
809,Festival de los Sentidos Albacete,Albacete,2025-09-16 00:00:00,Museo,Movilidad reducida,2,8,Al aire libre,Por confirmar,https://festivaldelossentidos.com/
810,Harpia Balaguer Medieval Lleida,Lleida,2025-07-10 00:00:00,Parque Temático,Auditiva,4,8,Al aire libre,Desde 5€,https://balaguer.cat/portal/
811,CaixaForum Barcelona,CaixaForum Barcelona,2025-06-04 00:00:00,Espectáculo,Visual,3,8,Al aire libre,Desde 20€,https://caixaforum.org/es/barcelona
812,Museo de las Ilusiones Madrid,Ilusiones Madrid,2025-02-10 00:00:00,Exposición,Ninguna,1,2,Al aire libre,Desde 30€,https://museumofillusions.es/madrid/
813,PortAventura World,World,2025-10-10 00:00:00,Parque Temático,Visual,4,5,Al aire libre,Desde 20€,https://www.portaventuraworld.com/
814,Pinocho en el Circo - Teatro San Pol,Pol,2025-07-03 00:00:00,Espectáculo,Visual,5,2,Al aire libre,Gratis,https://teatrosanpol.com/
815,Maratón de los Cuentos Guadalajara,Guadalajara,2025-11-26 00:00:00,Concierto,Visual,4,2,Al aire libre,Por confirmar,https://www.maratondeloscuentos.org/
816,Festival Tomavistas Madrid,Tomavistas Madrid,2025-08-18 00:00:00,Exposición,Visual,2,8,Al aire libre,Desde 20€,https://www.tomavistasfestival.com/
817,Museo de la Ciencia Valladolid,Valladolid,2025-06-07 00:00:00,Museo,Auditiva,1,5,Cubierto,Desde 10€,https://museocienciavalladolid.es/
818,Museo de la Ciencia Valladolid,Valladolid,2025-01-10 00:00:00,Parque Temático,Cognitiva,3,2,Al aire libre,Desde 30€,https://museocienciavalladolid.es/
819,Festival Tomavistas Madrid,Tomavistas Madrid,2025-01-30 00:00:00,Museo,Visual,1,8,Al aire libre,Desde 30€,https://www.tomavistasfestival.com/
820,Laberinto de Villapresente Cantabria,Cantabria,2025-12-18 00:00:00,Literatura,Visual,2,8,Al aire libre,Desde 5€,https://laberintodevillapresente.es/
821,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-01-17 00:00:00,Festival,Cognitiva,5,8,Al aire libre,Gratis,https://www.madrid.es/portales/munimadrid
822,Museo de las Ilusiones Madrid,Ilusiones Madrid,2025-08-10 00:00:00,Espectáculo,Visual,5,8,Al aire libre,Desde 10€,https://museumofillusions.es/madrid/
823,Harpia Balaguer Medieval Lleida,Lleida,2025-04-27 00:00:00,Parque Temático,Movilidad reducida,3,2,Cubierto,Desde 20€,https://balaguer.cat/portal/
824,Parque Faunia Madrid,Faunia Madrid,2025-07-09 00:00:00,Concierto,Auditiva,5,8,Cubierto,Desde 5€,https://www.faunia.es/
825,Acuario de Gijón,Gijón,2025-02-05 00:00:00,Literatura,Ninguna,2,5,Al aire libre,Desde 5€,https://acuariodegijon.es/
826,Laberinto de Villapresente Cantabria,Cantabria,2025-05-28 00:00:00,Concierto,Movilidad reducida,4,2,Al aire libre,Desde 5€,https://laberintodevillapresente.es/
827,Zoo Aquarium de Madrid,de Madrid,2025-09-15 00:00:00,Festival,Cognitiva,4,5,Cubierto,Desde 10€,https://www.zoomadrid.com/
828,Castillo de Manzanares el Real,Real,2025-09-09 00:00:00,Museo,Movilidad reducida,1,2,Al aire libre,Desde 20€,https://www.comunidad.madrid/cultura/patrimonio-cultural/castillo-manzanares-real
829,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-03-02 00:00:00,Exposición,Visual,2,0,Cubierto,Por confirmar,https://kartingangelburgueno.com/
830,Museo de Cera de Madrid,de Madrid,2025-08-24 00:00:00,Concierto,Visual,3,0,Al aire libre,Desde 20€,https://www.museoceramadrid.com/
831,Festival Tomavistas Madrid,Tomavistas Madrid,2025-01-08 00:00:00,Concierto,Ninguna,4,8,Cubierto,Desde 20€,https://www.tomavistasfestival.com/
832,Museo del Prado actividades familiares,familiares,2025-05-22 00:00:00,Festival,Movilidad reducida,4,0,Cubierto,Por confirmar,https://www.museodelprado.es/
833,Feria del Caballo Jerez,Jerez,2025-12-27 00:00:00,Festival,Visual,3,5,Al aire libre,Gratis,https://feriadelcaballojerez.com/
834,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-07-13 00:00:00,Exposición,Visual,1,5,Cubierto,Desde 10€,https://www.madrid.es/portales/munimadrid
835,Festival de los Sentidos Albacete,Albacete,2025-01-21 00:00:00,Exposición,Movilidad reducida,1,0,Cubierto,Desde 20€,https://festivaldelossentidos.com/
836,Museo Interactivo de la Música Málaga,Málaga,2025-01-06 00:00:00,Concierto,Movilidad reducida,5,0,Al aire libre,Desde 5€,https://www.musicaenaccion.com/
837,Festival de Magia - Parque de Atracciones,Atracciones,2025-11-10 00:00:00,Exposición,Movilidad reducida,1,0,Cubierto,Desde 5€,https://parquedeatracciones.es/eventos/festival-magia
838,Museo de Cera de Madrid,de Madrid,2025-07-13 00:00:00,Espectáculo,Auditiva,3,0,Al aire libre,Desde 30€,https://www.museoceramadrid.com/
839,Museo de Cera de Madrid,de Madrid,2025-09-18 00:00:00,Parque Temático,Auditiva,5,0,Al aire libre,Desde 5€,https://www.museoceramadrid.com/
840,Pueblo Español de Barcelona,de Barcelona,2025-10-21 00:00:00,Exposición,Visual,2,0,Cubierto,Desde 30€,https://poble-espanyol.com/
841,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-07-15 00:00:00,Festival,Visual,5,8,Al aire libre,Por confirmar,https://www.madrid.es/portales/munimadrid
842,Ciudad de las Artes y las Ciencias Valencia,Ciencias Valencia,2025-03-09 00:00:00,Concierto,Auditiva,3,8,Cubierto,Por confirmar,https://cac.es/
843,Festival Pirineos Sur,Sur,2025-02-25 00:00:00,Exposición,Cognitiva,2,5,Cubierto,Desde 30€,https://pirineos-sur.es/
844,Parque Warner Madrid,Warner Madrid,2025-08-12 00:00:00,Concierto,Visual,3,5,Cubierto,Gratis,https://www.parquewarner.com/
845,Festival Emérita Lúdica Mérida,Mérida,2025-10-18 00:00:00,Parque Temático,Auditiva,3,0,Al aire libre,Por confirmar,https://meridaludica.com/
846,CaixaForum Barcelona,CaixaForum Barcelona,2025-03-07 00:00:00,Espectáculo,Movilidad reducida,4,5,Al aire libre,Gratis,https://caixaforum.org/es/barcelona
847,Atlantis Aquarium Madrid,Aquarium Madrid,2025-12-22 00:00:00,Festival,Cognitiva,3,2,Al aire libre,Por confirmar,https://www.atlantisaquarium-madrid.es/
848,Parque Warner Madrid,Warner Madrid,2025-09-30 00:00:00,Literatura,Auditiva,1,8,Cubierto,Desde 30€,https://www.parquewarner.com/
849,Pinocho en el Circo - Teatro San Pol,Pol,2025-03-23 00:00:00,Festival,Cognitiva,3,5,Cubierto,Desde 20€,https://teatrosanpol.com/
850,Familyland Tres Cantos,Cantos,2025-10-25 00:00:00,Festival,Movilidad reducida,4,0,Cubierto,Gratis,https://familyland.es/
851,Jurassic World Experience Madrid,Experience Madrid,2025-06-16 00:00:00,Literatura,Visual,1,2,Al aire libre,Por confirmar,https://jurassicworldexperience.es/
852,Familyland Tres Cantos,Cantos,2025-07-23 00:00:00,Concierto,Auditiva,5,0,Al aire libre,Desde 5€,https://familyland.es/
853,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-01-08 00:00:00,Parque Temático,Auditiva,4,5,Cubierto,Gratis,https://kartingangelburgueno.com/
854,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-01-18 00:00:00,Exposición,Visual,1,0,Cubierto,Desde 10€,https://kartingangelburgueno.com/
855,Castillo de Manzanares el Real,Real,2025-10-03 00:00:00,Festival,Ninguna,3,8,Al aire libre,Desde 5€,https://www.comunidad.madrid/cultura/patrimonio-cultural/castillo-manzanares-real
856,Museo Guggenheim actividades familiares,familiares,2025-03-02 00:00:00,Exposición,Ninguna,2,0,Cubierto,Desde 20€,https://www.guggenheim-bilbao.eus/
857,Museo del Prado actividades familiares,familiares,2025-09-26 00:00:00,Festival,Auditiva,3,8,Al aire libre,Desde 5€,https://www.museodelprado.es/
858,Parque Gulliver Valencia,Gulliver Valencia,2025-08-09 00:00:00,Museo,Cognitiva,1,2,Al aire libre,Por confirmar,https://www.visitvalencia.com/
859,Pueblo Español de Barcelona,de Barcelona,2025-04-28 00:00:00,Festival,Auditiva,3,2,Cubierto,Desde 30€,https://poble-espanyol.com/
860,Laberinto de Villapresente Cantabria,Cantabria,2025-08-26 00:00:00,Parque Temático,Auditiva,5,2,Cubierto,Desde 5€,https://laberintodevillapresente.es/
861,Festival Tomavistas Madrid,Tomavistas Madrid,2025-04-21 00:00:00,Museo,Ninguna,1,2,Cubierto,Desde 30€,https://www.tomavistasfestival.com/
862,Parque Gulliver Valencia,Gulliver Valencia,2025-05-29 00:00:00,Literatura,Movilidad reducida,2,2,Al aire libre,Gratis,https://www.visitvalencia.com/
863,Dinópolis Teruel,Teruel,2025-06-15 00:00:00,Espectáculo,Auditiva,4,5,Al aire libre,Gratis,https://www.dinopolis.com/
864,Concierto Aitana Estadio Metropolitano,Metropolitano,2025-12-20 00:00:00,Exposición,Cognitiva,1,5,Al aire libre,Desde 20€,https://aitanamusic.es/
865,Museo del Mar de Galicia,Galicia,2025-12-17 00:00:00,Literatura,Auditiva,2,5,Cubierto,Desde 20€,https://museodomar.xunta.gal/
866,Concierto Aitana Estadio Metropolitano,Metropolitano,2025-11-07 00:00:00,Espectáculo,Ninguna,4,2,Al aire libre,Desde 30€,https://aitanamusic.es/
867,Festival Pirineos Sur,Sur,2025-07-07 00:00:00,Exposición,Visual,2,5,Al aire libre,Por confirmar,https://pirineos-sur.es/
868,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-12-05 00:00:00,Literatura,Cognitiva,1,5,Al aire libre,Desde 10€,https://kartingangelburgueno.com/
869,Parque de Aventuras Amazonia,Amazonia,2025-01-05 00:00:00,Literatura,Auditiva,2,0,Cubierto,Gratis,https://www.parqueaventuraamazonia.com/
870,Museo Nacional de Ciencias Naturales,Naturales,2025-10-31 00:00:00,Concierto,Auditiva,3,0,Al aire libre,Desde 5€,https://www.mncn.csic.es/
871,Harpia Balaguer Medieval Lleida,Lleida,2025-09-26 00:00:00,Espectáculo,Cognitiva,4,0,Al aire libre,Gratis,https://balaguer.cat/portal/
872,Harpia Balaguer Medieval Lleida,Lleida,2025-05-29 00:00:00,Exposición,Cognitiva,1,0,Al aire libre,Gratis,https://balaguer.cat/portal/
873,Acuario de Gijón,Gijón,2025-09-24 00:00:00,Exposición,Visual,2,8,Al aire libre,Gratis,https://acuariodegijon.es/
874,CaixaForum Madrid,CaixaForum Madrid,2025-06-16 00:00:00,Espectáculo,Ninguna,5,8,Cubierto,Desde 30€,https://caixaforum.org/es/madrid
875,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-10-01 00:00:00,Festival,Visual,5,0,Cubierto,Desde 20€,https://www.aquariumbcn.com/
876,Museo del Prado actividades familiares,familiares,2025-04-06 00:00:00,Exposición,Cognitiva,1,5,Al aire libre,Desde 10€,https://www.museodelprado.es/
877,Museo Naval de Madrid,de Madrid,2025-10-15 00:00:00,Espectáculo,Movilidad reducida,4,0,Cubierto,Desde 5€,https://www.armada.mde.es/MuseoNaval/
878,Dinópolis Teruel,Teruel,2025-12-03 00:00:00,Festival,Cognitiva,4,0,Cubierto,Gratis,https://www.dinopolis.com/
879,Teleférico de Madrid,de Madrid,2025-10-20 00:00:00,Parque Temático,Visual,5,2,Cubierto,Desde 30€,https://teleferico.emtmadrid.es/
880,Festival Pirineos Sur,Sur,2025-09-28 00:00:00,Literatura,Auditiva,2,0,Cubierto,Desde 5€,https://pirineos-sur.es/
881,Teleférico de Madrid,de Madrid,2025-09-19 00:00:00,Exposición,Ninguna,1,8,Al aire libre,Desde 10€,https://teleferico.emtmadrid.es/
882,PortAventura World,World,2025-05-28 00:00:00,Literatura,Cognitiva,2,2,Cubierto,Desde 10€,https://www.portaventuraworld.com/
883,Zoo Aquarium de Madrid,de Madrid,2025-07-29 00:00:00,Exposición,Auditiva,2,5,Al aire libre,Desde 10€,https://www.zoomadrid.com/
884,Jurassic World Experience Madrid,Experience Madrid,2025-06-08 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 20€,https://jurassicworldexperience.es/
885,Museo Interactivo de la Música Málaga,Málaga,2025-06-29 00:00:00,Museo,Cognitiva,1,5,Cubierto,Desde 30€,https://www.musicaenaccion.com/
886,Museo del Chocolate Astorga,Astorga,2025-08-28 00:00:00,Literatura,Movilidad reducida,2,5,Al aire libre,Por confirmar,https://museodelchocolateastorga.com/
887,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-10-26 00:00:00,Festival,Cognitiva,4,0,Cubierto,Desde 30€,https://parquedecabarceno.com/
888,CaixaForum Barcelona,CaixaForum Barcelona,2025-10-06 00:00:00,Parque Temático,Ninguna,5,0,Cubierto,Desde 30€,https://caixaforum.org/es/barcelona
889,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-08-20 00:00:00,Parque Temático,Ninguna,3,8,Cubierto,Desde 10€,https://parquedecabarceno.com/
890,Feria del Caballo Jerez,Jerez,2025-04-07 00:00:00,Museo,Cognitiva,1,5,Al aire libre,Desde 10€,https://feriadelcaballojerez.com/
891,Acuario de Gijón,Gijón,2025-09-25 00:00:00,Parque Temático,Visual,3,0,Al aire libre,Gratis,https://acuariodegijon.es/
892,Feria Medieval Ibiza,Ibiza,2025-12-04 00:00:00,Exposición,Auditiva,1,5,Cubierto,Desde 30€,https://ibiza.travel/
893,Museo Naval de Madrid,de Madrid,2025-10-18 00:00:00,Concierto,Movilidad reducida,3,5,Al aire libre,Desde 30€,https://www.armada.mde.es/MuseoNaval/
894,Familyland Tres Cantos,Cantos,2025-01-22 00:00:00,Exposición,Cognitiva,2,5,Cubierto,Desde 20€,https://familyland.es/
895,Museo Interactivo de la Música Málaga,Málaga,2025-07-23 00:00:00,Exposición,Cognitiva,1,2,Al aire libre,Desde 5€,https://www.musicaenaccion.com/
896,Harpia Balaguer Medieval Lleida,Lleida,2025-05-08 00:00:00,Exposición,Auditiva,1,8,Al aire libre,Desde 10€,https://balaguer.cat/portal/
897,Museo de la Felicidad Madrid,Felicidad Madrid,2025-09-21 00:00:00,Espectáculo,Movilidad reducida,4,5,Al aire libre,Desde 10€,https://www.museodelafelicidad.es/
898,Zoo Aquarium de Madrid,de Madrid,2025-10-03 00:00:00,Espectáculo,Cognitiva,3,0,Al aire libre,Por confirmar,https://www.zoomadrid.com/
899,CaixaForum Barcelona,CaixaForum Barcelona,2025-12-15 00:00:00,Parque Temático,Auditiva,4,5,Al aire libre,Por confirmar,https://caixaforum.org/es/barcelona
900,CaixaForum Madrid,CaixaForum Madrid,2025-07-25 00:00:00,Espectáculo,Cognitiva,3,8,Al aire libre,Desde 10€,https://caixaforum.org/es/madrid
901,Karting Ángel Burgueño Madrid,Burgueño Madrid,2025-03-12 00:00:00,Concierto,Ninguna,4,5,Cubierto,Desde 5€,https://kartingangelburgueno.com/
902,Harpia Balaguer Medieval Lleida,Lleida,2025-08-27 00:00:00,Parque Temático,Visual,3,0,Cubierto,Desde 10€,https://balaguer.cat/portal/
903,Festival de los Sentidos Albacete,Albacete,2025-01-27 00:00:00,Parque Temático,Ninguna,4,2,Cubierto,Por confirmar,https://festivaldelossentidos.com/
904,Dinópolis Teruel,Teruel,2025-05-03 00:00:00,Literatura,Visual,2,5,Cubierto,Por confirmar,https://www.dinopolis.com/
905,PortAventura World,World,2025-11-09 00:00:00,Espectáculo,Ninguna,5,0,Cubierto,Desde 20€,https://www.portaventuraworld.com/
906,Familyland Tres Cantos,Cantos,2025-01-11 00:00:00,Festival,Cognitiva,3,8,Al aire libre,Por confirmar,https://familyland.es/
907,CaixaForum Barcelona,CaixaForum Barcelona,2025-03-18 00:00:00,Parque Temático,Cognitiva,4,0,Al aire libre,Desde 20€,https://caixaforum.org/es/barcelona
908,Museo Nacional de Ciencias Naturales,Naturales,2025-11-25 00:00:00,Concierto,Cognitiva,3,0,Al aire libre,Gratis,https://www.mncn.csic.es/
909,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-08-03 00:00:00,Espectáculo,Cognitiva,4,8,Al aire libre,Gratis,https://parquedecabarceno.com/
910,Feria del Caballo Jerez,Jerez,2025-09-06 00:00:00,Exposición,Visual,2,0,Cubierto,Por confirmar,https://feriadelcaballojerez.com/
911,Parque Warner Madrid,Warner Madrid,2025-02-15 00:00:00,Parque Temático,Movilidad reducida,3,0,Al aire libre,Gratis,https://www.parquewarner.com/
912,Festival Emérita Lúdica Mérida,Mérida,2025-02-13 00:00:00,Exposición,Ninguna,2,8,Al aire libre,Gratis,https://meridaludica.com/
913,Museo de Cera de Madrid,de Madrid,2025-12-30 00:00:00,Literatura,Visual,1,5,Al aire libre,Desde 20€,https://www.museoceramadrid.com/
914,Feria del Caballo Jerez,Jerez,2025-01-15 00:00:00,Parque Temático,Auditiva,3,5,Al aire libre,Desde 5€,https://feriadelcaballojerez.com/
915,Parque Gulliver Valencia,Gulliver Valencia,2025-02-09 00:00:00,Festival,Cognitiva,3,0,Cubierto,Gratis,https://www.visitvalencia.com/
916,Ciudad de las Artes y las Ciencias Valencia,Ciencias Valencia,2025-04-03 00:00:00,Exposición,Ninguna,1,5,Al aire libre,Desde 5€,https://cac.es/
917,Jurassic World Experience Madrid,Experience Madrid,2025-01-20 00:00:00,Festival,Movilidad reducida,4,0,Cubierto,Desde 20€,https://jurassicworldexperience.es/
918,Zoo Aquarium de Madrid,de Madrid,2025-11-03 00:00:00,Parque Temático,Movilidad reducida,3,5,Al aire libre,Desde 5€,https://www.zoomadrid.com/
919,Pinocho en el Circo - Teatro San Pol,Pol,2025-08-22 00:00:00,Exposición,Auditiva,1,5,Cubierto,Desde 5€,https://teatrosanpol.com/
920,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-03-25 00:00:00,Concierto,Cognitiva,5,5,Cubierto,Por confirmar,https://www.aquariumbcn.com/
921,Museo de la Ciencia Valladolid,Valladolid,2025-11-01 00:00:00,Exposición,Visual,1,5,Al aire libre,Desde 20€,https://museocienciavalladolid.es/
922,Pueblo Español de Barcelona,de Barcelona,2025-01-02 00:00:00,Literatura,Cognitiva,1,0,Al aire libre,Por confirmar,https://poble-espanyol.com/
923,Museo Interactivo de la Música Málaga,Málaga,2025-04-10 00:00:00,Literatura,Movilidad reducida,2,2,Cubierto,Desde 30€,https://www.musicaenaccion.com/
924,Harpia Balaguer Medieval Lleida,Lleida,2025-02-02 00:00:00,Festival,Cognitiva,5,5,Al aire libre,Por confirmar,https://balaguer.cat/portal/
925,Feria del Caballo Jerez,Jerez,2025-10-28 00:00:00,Museo,Ninguna,1,5,Cubierto,Desde 30€,https://feriadelcaballojerez.com/
926,Familyland Tres Cantos,Cantos,2025-11-02 00:00:00,Literatura,Movilidad reducida,2,0,Cubierto,Desde 5€,https://familyland.es/
927,Feria del Caballo Jerez,Jerez,2025-03-05 00:00:00,Festival,Cognitiva,5,8,Cubierto,Gratis,https://feriadelcaballojerez.com/
928,PortAventura World,World,2025-07-06 00:00:00,Concierto,Ninguna,3,0,Cubierto,Por confirmar,https://www.portaventuraworld.com/
929,Castillo de Manzanares el Real,Real,2025-04-13 00:00:00,Parque Temático,Visual,3,5,Cubierto,Desde 5€,https://www.comunidad.madrid/cultura/patrimonio-cultural/castillo-manzanares-real
930,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-01-13 00:00:00,Museo,Visual,1,2,Cubierto,Desde 30€,https://cosmocaixa.org/
931,Dinópolis Teruel,Teruel,2025-01-30 00:00:00,Museo,Movilidad reducida,2,5,Cubierto,Desde 30€,https://www.dinopolis.com/
932,Festival de los Sentidos Albacete,Albacete,2025-05-20 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 5€,https://festivaldelossentidos.com/
933,Museo Naval de Madrid,de Madrid,2025-05-06 00:00:00,Espectáculo,Auditiva,5,8,Al aire libre,Gratis,https://www.armada.mde.es/MuseoNaval/
934,Maratón de los Cuentos Guadalajara,Guadalajara,2025-06-08 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 10€,https://www.maratondeloscuentos.org/
935,Museo de Cera de Madrid,de Madrid,2025-02-22 00:00:00,Museo,Ninguna,2,0,Al aire libre,Gratis,https://www.museoceramadrid.com/
936,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-03-30 00:00:00,Concierto,Ninguna,3,2,Al aire libre,Desde 20€,https://cosmocaixa.org/
937,Museo de las Ilusiones Madrid,Ilusiones Madrid,2025-10-12 00:00:00,Parque Temático,Auditiva,5,8,Al aire libre,Gratis,https://museumofillusions.es/madrid/
938,Feria Medieval Ibiza,Ibiza,2025-11-11 00:00:00,Concierto,Auditiva,3,8,Cubierto,Gratis,https://ibiza.travel/
939,Festival Tomavistas Madrid,Tomavistas Madrid,2025-03-05 00:00:00,Parque Temático,Ninguna,4,5,Cubierto,Por confirmar,https://www.tomavistasfestival.com/
940,Pinocho en el Circo - Teatro San Pol,Pol,2025-05-24 00:00:00,Parque Temático,Movilidad reducida,3,2,Al aire libre,Desde 5€,https://teatrosanpol.com/
941,Pinocho en el Circo - Teatro San Pol,Pol,2025-05-19 00:00:00,Concierto,Movilidad reducida,3,2,Al aire libre,Por confirmar,https://teatrosanpol.com/
942,Museo Nacional de Ciencias Naturales,Naturales,2025-04-19 00:00:00,Concierto,Cognitiva,5,5,Al aire libre,Gratis,https://www.mncn.csic.es/
943,Isla Mágica Sevilla,Mágica Sevilla,2025-01-20 00:00:00,Museo,Cognitiva,2,8,Al aire libre,Desde 20€,https://www.islamagica.es/
944,Isla Mágica Sevilla,Mágica Sevilla,2025-01-04 00:00:00,Parque Temático,Ninguna,4,0,Al aire libre,Desde 20€,https://www.islamagica.es/
