nombre_evento,ciudad,fecha,categoria,necesidad_especial,precio,descripcion
Jurassic World Experience Madrid,Madrid,2025-06-08 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Jurassic World Experience Madrid en Madrid el 8 de June de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-06-29 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Museo Interactivo de la Música Málaga en Málaga el 29 de June de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-10-26 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 26 de October de 2025.
CaixaForum Barcelona,Barcelona,2025-10-06 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en CaixaForum Barcelona en Barcelona el 6 de October de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-08-20 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un parque temático familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 20 de August de 2025.
Feria del Caballo Jerez,Cádiz,2025-04-07 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Feria del Caballo Jerez en Cádiz el 7 de April de 2025.
Acuario de Gijón,Asturias,2025-09-25 00:00:00,Ocio,visual,Gratis,Disfruta de un parque temático familiar en Acuario de Gijón en Asturias el 25 de September de 2025.
Museo Naval de Madrid,Madrid,2025-10-18 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 18 de October de 2025.
Familyland Tres Cantos,Madrid,2025-01-22 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Familyland Tres Cantos en Madrid el 22 de January de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-07-23 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Museo Interactivo de la Música Málaga en Málaga el 23 de July de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-05-08 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un exposición familiar en Harpia Balaguer Medieval Lleida en Lleida el 8 de May de 2025.
Museo de la Felicidad Madrid,Madrid,2025-09-21 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Museo de la Felicidad Madrid en Madrid el 21 de September de 2025.
Zoo Aquarium de Madrid,Madrid,2025-10-03 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Zoo Aquarium de Madrid en Madrid el 3 de October de 2025.
CaixaForum Barcelona,Barcelona,2025-12-15 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un parque temático familiar en CaixaForum Barcelona en Barcelona el 15 de December de 2025.
CaixaForum Madrid,Madrid,2025-07-25 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en CaixaForum Madrid en Madrid el 25 de July de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-03-12 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Karting Ángel Burgueño Madrid en Madrid el 12 de March de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-08-27 00:00:00,Ocio,visual,Desde 10€,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 27 de August de 2025.
Festival de los Sentidos Albacete,Albacete,2025-01-27 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 27 de January de 2025.
Dinópolis Teruel,Teruel,2025-05-03 00:00:00,Ocio,visual,Por confirmar,Disfruta de un literatura familiar en Dinópolis Teruel en Teruel el 3 de May de 2025.
Familyland Tres Cantos,Madrid,2025-01-11 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Familyland Tres Cantos en Madrid el 11 de January de 2025.
CaixaForum Barcelona,Barcelona,2025-03-18 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en CaixaForum Barcelona en Barcelona el 18 de March de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-11-25 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 25 de November de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-08-03 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 3 de August de 2025.
Feria del Caballo Jerez,Cádiz,2025-09-06 00:00:00,Educación,visual,Por confirmar,Disfruta de un exposición familiar en Feria del Caballo Jerez en Cádiz el 6 de September de 2025.
Parque Warner Madrid,Madrid,2025-02-15 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Parque Warner Madrid en Madrid el 15 de February de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-02-13 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en Festival Emérita Lúdica Mérida en Badajoz el 13 de February de 2025.
Museo de Cera de Madrid,Madrid,2025-12-30 00:00:00,Ocio,visual,Desde 20€,Disfruta de un literatura familiar en Museo de Cera de Madrid en Madrid el 30 de December de 2025.
Feria del Caballo Jerez,Cádiz,2025-01-15 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un parque temático familiar en Feria del Caballo Jerez en Cádiz el 15 de January de 2025.
Parque Gulliver Valencia,Valencia,2025-02-09 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Parque Gulliver Valencia en Valencia el 9 de February de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-04-03 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 3 de April de 2025.
Jurassic World Experience Madrid,Madrid,2025-01-20 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un festival familiar en Jurassic World Experience Madrid en Madrid el 20 de January de 2025.
Zoo Aquarium de Madrid,Madrid,2025-11-03 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Zoo Aquarium de Madrid en Madrid el 3 de November de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-08-22 00:00:00,Educación,auditiva,Desde 5€,Disfruta de un exposición familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 22 de August de 2025.
L'Aquàrium Barcelona,Barcelona,2025-03-25 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en L'Aquàrium Barcelona en Barcelona el 25 de March de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-11-01 00:00:00,Educación,visual,Desde 20€,Disfruta de un exposición familiar en Museo de la Ciencia Valladolid en Valladolid el 1 de November de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-04-10 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un literatura familiar en Museo Interactivo de la Música Málaga en Málaga el 10 de April de 2025.
Feria del Caballo Jerez,Cádiz,2025-10-28 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Feria del Caballo Jerez en Cádiz el 28 de October de 2025.
Familyland Tres Cantos,Madrid,2025-11-02 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Familyland Tres Cantos en Madrid el 2 de November de 2025.
Feria del Caballo Jerez,Cádiz,2025-03-05 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Feria del Caballo Jerez en Cádiz el 5 de March de 2025.
PortAventura World,Madrid,2025-07-06 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en PortAventura World en Madrid el 6 de July de 2025.
Castillo de Manzanares el Real,Ciudad Real,2025-04-13 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en Castillo de Manzanares el Real en Ciudad Real el 13 de April de 2025.
CosmoCaixa Barcelona,Barcelona,2025-01-13 00:00:00,Educación,visual,Desde 30€,Disfruta de un museo familiar en CosmoCaixa Barcelona en Barcelona el 13 de January de 2025.
Dinópolis Teruel,Teruel,2025-01-30 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Dinópolis Teruel en Teruel el 30 de January de 2025.
Festival de los Sentidos Albacete,Albacete,2025-05-20 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Festival de los Sentidos Albacete en Albacete el 20 de May de 2025.
Museo Naval de Madrid,Madrid,2025-05-06 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en Museo Naval de Madrid en Madrid el 6 de May de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-06-08 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 8 de June de 2025.
Museo de Cera de Madrid,Madrid,2025-02-22 00:00:00,Educación,ninguna,Gratis,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 22 de February de 2025.
CosmoCaixa Barcelona,Barcelona,2025-03-30 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 30 de March de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-10-12 00:00:00,Ocio,auditiva,Gratis,Disfruta de un parque temático familiar en Museo de las Ilusiones Madrid en Madrid el 12 de October de 2025.
Feria Medieval Ibiza,Illes Balears,2025-11-11 00:00:00,Ocio,auditiva,Gratis,Disfruta de un concierto familiar en Feria Medieval Ibiza en Illes Balears el 11 de November de 2025.
Festival Tomavistas Madrid,Madrid,2025-03-05 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Festival Tomavistas Madrid en Madrid el 5 de March de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-05-24 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 24 de May de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-05-19 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 19 de May de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-04-19 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 19 de April de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-20 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 20 de January de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-04 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Isla Mágica Sevilla en Sevilla el 4 de January de 2025.
Isla Mágica Sevilla,Sevilla,2025-06-04 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un literatura familiar en Isla Mágica Sevilla en Sevilla el 4 de June de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-11-25 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un festival familiar en Harpia Balaguer Medieval Lleida en Lleida el 25 de November de 2025.
Teleférico de Madrid,Madrid,2025-06-18 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Teleférico de Madrid en Madrid el 18 de June de 2025.
Feria Medieval Ibiza,Illes Balears,2025-03-06 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Feria Medieval Ibiza en Illes Balears el 6 de March de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-04-10 00:00:00,Educación,visual,Desde 5€,Disfruta de un museo familiar en Laberinto de Villapresente Cantabria en Cantabria el 10 de April de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-11-03 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un parque temático familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 3 de November de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-12-03 00:00:00,Ocio,visual,Desde 30€,Disfruta de un literatura familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 3 de December de 2025.
Parque de Aventuras Amazonia,Madrid,2025-02-27 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un espectáculo familiar en Parque de Aventuras Amazonia en Madrid el 27 de February de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-09-18 00:00:00,Educación,visual,Desde 20€,Disfruta de un exposición familiar en Karting Ángel Burgueño Madrid en Madrid el 18 de September de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-07-18 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Festival Emérita Lúdica Mérida en Badajoz el 18 de July de 2025.
L'Aquàrium Barcelona,Barcelona,2025-01-01 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un literatura familiar en L'Aquàrium Barcelona en Barcelona el 1 de January de 2025.
Parque Gulliver Valencia,Valencia,2025-11-01 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Parque Gulliver Valencia en Valencia el 1 de November de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-03-08 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un festival familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 8 de March de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-07-11 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un museo familiar en Harpia Balaguer Medieval Lleida en Lleida el 11 de July de 2025.
Oceanogràfic Valencia,Valencia,2025-01-20 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Oceanogràfic Valencia en Valencia el 20 de January de 2025.
CaixaForum Barcelona,Barcelona,2025-04-26 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 26 de April de 2025.
Festival Tomavistas Madrid,Madrid,2025-12-25 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Festival Tomavistas Madrid en Madrid el 25 de December de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-11-02 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Festival Emérita Lúdica Mérida en Badajoz el 2 de November de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-01-06 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Museo Nacional de Ciencias Naturales en Madrid el 6 de January de 2025.
Acuario de Gijón,Asturias,2025-03-11 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Acuario de Gijón en Asturias el 11 de March de 2025.
CaixaForum Madrid,Madrid,2025-06-06 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en CaixaForum Madrid en Madrid el 6 de June de 2025.
Feria Medieval Ibiza,Illes Balears,2025-08-17 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Feria Medieval Ibiza en Illes Balears el 17 de August de 2025.
L'Aquàrium Barcelona,Barcelona,2025-08-27 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un concierto familiar en L'Aquàrium Barcelona en Barcelona el 27 de August de 2025.
Dinópolis Teruel,Teruel,2025-11-24 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 24 de November de 2025.
Teleférico de Madrid,Madrid,2025-05-16 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en Teleférico de Madrid en Madrid el 16 de May de 2025.
Feria del Caballo Jerez,Cádiz,2025-09-04 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un concierto familiar en Feria del Caballo Jerez en Cádiz el 4 de September de 2025.
Dinópolis Teruel,Teruel,2025-10-24 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 24 de October de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-01-25 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 25 de January de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-11-11 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Museo del Prado actividades familiares en Bizkaia el 11 de November de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-09-10 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 10 de September de 2025.
Pueblo Español de Barcelona,Barcelona,2025-02-09 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un espectáculo familiar en Pueblo Español de Barcelona en Barcelona el 9 de February de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-04-20 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Museo Interactivo de la Música Málaga en Málaga el 20 de April de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-10-08 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un literatura familiar en Concierto Aitana Estadio Metropolitano en Madrid el 8 de October de 2025.
Parque Faunia Madrid,Madrid,2025-05-19 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un parque temático familiar en Parque Faunia Madrid en Madrid el 19 de May de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-10-01 00:00:00,Educación,visual,Desde 10€,Disfruta de un museo familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 1 de October de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-04-13 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en Museo Interactivo de la Música Málaga en Málaga el 13 de April de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-04-03 00:00:00,Educación,auditiva,Gratis,Disfruta de un exposición familiar en Museo de la Ciencia Valladolid en Valladolid el 3 de April de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-05-08 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 8 de May de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-01-12 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 12 de January de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-07-06 00:00:00,Educación,auditiva,Desde 20€,Disfruta de un museo familiar en Festival Emérita Lúdica Mérida en Badajoz el 6 de July de 2025.
CaixaForum Barcelona,Barcelona,2025-10-28 00:00:00,Ocio,visual,Desde 30€,Disfruta de un festival familiar en CaixaForum Barcelona en Barcelona el 28 de October de 2025.
Familyland Tres Cantos,Madrid,2025-07-06 00:00:00,Ocio,visual,Desde 5€,Disfruta de un festival familiar en Familyland Tres Cantos en Madrid el 6 de July de 2025.
Museo del Mar de Galicia,A Coruña,2025-10-18 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en Museo del Mar de Galicia en A Coruña el 18 de October de 2025.
Familyland Tres Cantos,Madrid,2025-02-01 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un literatura familiar en Familyland Tres Cantos en Madrid el 1 de February de 2025.
Museo de Cera de Madrid,Madrid,2025-05-31 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 31 de May de 2025.
Pueblo Español de Barcelona,Barcelona,2025-05-24 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Pueblo Español de Barcelona en Barcelona el 24 de May de 2025.
PortAventura World,Madrid,2025-06-29 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en PortAventura World en Madrid el 29 de June de 2025.
Bioparc Valencia,Valencia,2025-09-08 00:00:00,Educación,visual,Desde 5€,Disfruta de un exposición familiar en Bioparc Valencia en Valencia el 8 de September de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-12-11 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un festival familiar en Museo Nacional de Ciencias Naturales en Madrid el 11 de December de 2025.
Atlantis Aquarium Madrid,Madrid,2025-12-28 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Atlantis Aquarium Madrid en Madrid el 28 de December de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-08-20 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un espectáculo familiar en Laberinto de Villapresente Cantabria en Cantabria el 20 de August de 2025.
Bioparc Valencia,Valencia,2025-11-18 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un espectáculo familiar en Bioparc Valencia en Valencia el 18 de November de 2025.
PortAventura World,Madrid,2025-01-16 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en PortAventura World en Madrid el 16 de January de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-10-05 00:00:00,Educación,auditiva,Gratis,Disfruta de un exposición familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 5 de October de 2025.
Pueblo Español de Barcelona,Barcelona,2025-02-16 00:00:00,Ocio,auditiva,Gratis,Disfruta de un concierto familiar en Pueblo Español de Barcelona en Barcelona el 16 de February de 2025.
Parque Warner Madrid,Madrid,2025-09-02 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un literatura familiar en Parque Warner Madrid en Madrid el 2 de September de 2025.
Isla Mágica Sevilla,Sevilla,2025-12-24 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 24 de December de 2025.
Zoo Aquarium de Madrid,Madrid,2025-06-04 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en Zoo Aquarium de Madrid en Madrid el 4 de June de 2025.
Museo del Mar de Galicia,A Coruña,2025-02-24 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Museo del Mar de Galicia en A Coruña el 24 de February de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-03-06 00:00:00,Educación,visual,Desde 10€,Disfruta de un exposición familiar en Harpia Balaguer Medieval Lleida en Lleida el 6 de March de 2025.
Acuario de Gijón,Asturias,2025-09-20 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Acuario de Gijón en Asturias el 20 de September de 2025.
Zoo Aquarium de Madrid,Madrid,2025-10-11 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un museo familiar en Zoo Aquarium de Madrid en Madrid el 11 de October de 2025.
CosmoCaixa Barcelona,Barcelona,2025-07-15 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en CosmoCaixa Barcelona en Barcelona el 15 de July de 2025.
Museo Naval de Madrid,Madrid,2025-07-07 00:00:00,Educación,ninguna,Gratis,Disfruta de un museo familiar en Museo Naval de Madrid en Madrid el 7 de July de 2025.
Museo de Cera de Madrid,Madrid,2025-05-23 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un exposición familiar en Museo de Cera de Madrid en Madrid el 23 de May de 2025.
Museo del Mar de Galicia,A Coruña,2025-03-01 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un literatura familiar en Museo del Mar de Galicia en A Coruña el 1 de March de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-07-04 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en Museo de las Ilusiones Madrid en Madrid el 4 de July de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-01-22 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Museo de las Ilusiones Madrid en Madrid el 22 de January de 2025.
Museo Naval de Madrid,Madrid,2025-02-24 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en Museo Naval de Madrid en Madrid el 24 de February de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-11-11 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 11 de November de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-09-25 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Museo de las Ilusiones Madrid en Madrid el 25 de September de 2025.
Museo Naval de Madrid,Madrid,2025-09-01 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Museo Naval de Madrid en Madrid el 1 de September de 2025.
CaixaForum Madrid,Madrid,2025-04-14 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un literatura familiar en CaixaForum Madrid en Madrid el 14 de April de 2025.
Atlantis Aquarium Madrid,Madrid,2025-07-09 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en Atlantis Aquarium Madrid en Madrid el 9 de July de 2025.
Zoo Aquarium de Madrid,Madrid,2025-10-02 00:00:00,Ocio,visual,Desde 30€,Disfruta de un espectáculo familiar en Zoo Aquarium de Madrid en Madrid el 2 de October de 2025.
Feria Medieval Ibiza,Illes Balears,2025-04-24 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un festival familiar en Feria Medieval Ibiza en Illes Balears el 24 de April de 2025.
Isla Mágica Sevilla,Sevilla,2025-04-24 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Isla Mágica Sevilla en Sevilla el 24 de April de 2025.
Pueblo Español de Barcelona,Barcelona,2025-06-02 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Pueblo Español de Barcelona en Barcelona el 2 de June de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-01-22 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Harpia Balaguer Medieval Lleida en Lleida el 22 de January de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-10-19 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Museo del Ferrocarril de Madrid en Madrid el 19 de October de 2025.
L'Aquàrium Barcelona,Barcelona,2025-07-07 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un exposición familiar en L'Aquàrium Barcelona en Barcelona el 7 de July de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-10-03 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Museo de la Ciencia Valladolid en Valladolid el 3 de October de 2025.
CosmoCaixa Barcelona,Barcelona,2025-06-10 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un festival familiar en CosmoCaixa Barcelona en Barcelona el 10 de June de 2025.
Parque Warner Madrid,Madrid,2025-07-31 00:00:00,Educación,auditiva,Desde 5€,Disfruta de un museo familiar en Parque Warner Madrid en Madrid el 31 de July de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-02-17 00:00:00,Ocio,ninguna,Gratis,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 17 de February de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-03-18 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en Museo de las Ilusiones Madrid en Madrid el 18 de March de 2025.
Jurassic World Experience Madrid,Madrid,2025-12-02 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Jurassic World Experience Madrid en Madrid el 2 de December de 2025.
PortAventura World,Madrid,2025-02-25 00:00:00,Ocio,visual,Desde 20€,Disfruta de un literatura familiar en PortAventura World en Madrid el 25 de February de 2025.
Pueblo Español de Barcelona,Barcelona,2025-01-13 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Pueblo Español de Barcelona en Barcelona el 13 de January de 2025.
Acuario de Gijón,Asturias,2025-05-29 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Acuario de Gijón en Asturias el 29 de May de 2025.
Isla Mágica Sevilla,Sevilla,2025-11-18 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Isla Mágica Sevilla en Sevilla el 18 de November de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-11-28 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un literatura familiar en Karting Ángel Burgueño Madrid en Madrid el 28 de November de 2025.
