Company;TypeName;Inches;Ram;Memory;Weight;Price_euros;ScreenType;Resolution;IsTouchscreen;Cpu_Type;Memory_Cpu;OpsysType;Version;Manufacturer;MemoryGraphic;Model Base;Specifications;width;height
Asus;Notebook;15.6;16.0;128.0;2.2;1749.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;FX502VM-AS73 ;16GB/1TB;1920;1080
Lenovo;Notebook;15.6;4.0;500.0;2.2;309.0;;1366x768;False;AMD A6-Series 9220;2.9;No OS;;AMD;Radeon R4 Graphics;IdeaPad 320-15AST;;1366;768
Fujitsu;Notebook;15.6;4.0;256.0;2.3;649.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;LifeBook A556;;1366;768
Toshiba;Notebook;13.3;4.0;128.0;1.2;1195.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;Portege Z30-C-1CV;;1920;1080
Dell;Notebook;17.3;4.0;1024.0;2.36;659.0;;1600x900;False;Intel Core i3 6006U;2.0;Windows;10;AMD;Radeon R7 M445;Insprion 5767;;1600;900
Dell;Gaming;15.6;8.0;1024.0;2.62;1099.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;Inspiron 7567;;1920;1080
Lenovo;Ultrabook;14.0;8.0;256.0;1.32;1499.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;ThinkPad T470s;;1920;1080
HP;Notebook;14.0;8.0;256.0;1.63;860.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Intel;HD Graphics 620;ProBook 440;;1920;1080
Acer;Notebook;15.6;8.0;256.0;3.0;951.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Nvidia;GeForce MX150;Aspire A517-51G;;1920;1080
Dell;Notebook;15.6;8.0;256.0;2.2;870.0;Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;AMD;Radeon 530;Inspiron 5570;;1920;1080
Dell;Ultrabook;13.3;8.0;256.0;1.4;931.88;IPS Panel / Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;AMD;Radeon 530;Inspiron 5370;;1920;1080
Acer;Notebook;17.3;4.0;1024.0;3.0;655.0;IPS Panel / Full HD;1920x1080;False;Intel Core i3 7130U;2.7;Windows;10;Nvidia;GeForce MX130;Aspire 5;;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.4;441.8;;1366x768;False;Intel Core i5 7200U;2.5;Linux;;Intel;HD Graphics 620;Aspire ES1-572;;1366;768
Dell;Notebook;15.6;16.0;256.0;2.02;1049.0;Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Linux;;AMD;Radeon 530;Inspiron 5570;;1920;1080
Asus;Gaming;17.3;12.0;1024.0;3.0;949.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Linux;;Nvidia;GeForce GTX 1050 Ti;FX753VE-GC093 ;12GB/1TB/GeForce;1920;1080
Asus;Gaming;17.3;8.0;128.0;3.0;1168.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;FX753VD-GC007T ;8GB/1TB;1920;1080
Lenovo;Ultrabook;14.0;16.0;1024.0;1.13;2625.0;IPS Panel;2560x1440;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad X1;;2560;1440
HP;Notebook;15.6;4.0;500.0;1.86;297.0;;1366x768;False;AMD E-Series 7110;1.8;Windows;10;AMD;Radeon R2 Graphics;15-BA015wm ;E2-7110/4GB/500GB/W10;1366;768
Dell;Notebook;15.6;8.0;1024.0;2.3;459.0;;1366x768;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;Inspiron 3567;;1366;768
Dell;Notebook;15.6;4.0;1024.0;2.18;586.6;;1366x768;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;Vostro 3568;;1366;768
Toshiba;Notebook;13.3;8.0;256.0;1.2;1460.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;Portege Z30-C-1CW;;1920;1080
HP;Netbook;11.6;2.0;32.0;1.17;209.0;;1366x768;False;Intel Celeron Dual Core N3060;1.6;Windows;10;Intel;HD Graphics 400;Stream 11-Y000na;;1366;768
Lenovo;2 in 1 Convertible;14.0;4.0;128.0;1.8;638.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 6500U;2.5;Windows;10;Intel;HD Graphics 520;Yoga 500-14ISK;;1920;1080
Asus;Gaming;15.6;8.0;256.0;2.5;999.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;FX553VD-FY647T ;8GB/256GB/GeForce;1920;1080
Acer;Notebook;15.6;8.0;1024.0;2.2;689.0;Full HD;1920x1080;False;Intel Core i7 8550U;1.8;Windows;10;Nvidia;GeForce MX150;Aspire 5;;1920;1080
Dell;2 in 1 Convertible;13.3;8.0;256.0;1.62;819.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;Inspiron 5379;;1920;1080
Dell;Workstation;15.6;8.0;64.0;2.23;1993.0;Full HD;1920x1080;False;Intel Xeon E3-1505M V6;3.0;Windows;10;Nvidia;Quadro M620;Precision 3520;;1920;1080
Dell;Workstation;15.6;8.0;500.0;2.23;1369.0;Full HD;1920x1080;False;Intel Core i5 6440HQ;2.6;Windows;10;AMD;FirePro W5130M;Precision 3510;;1920;1080
HP;Notebook;15.6;6.0;1024.0;2.1;529.0;Full HD;1920x1080;False;AMD A12-Series 9720P;2.7;Windows;10;AMD;Radeon 530;15-bw009nv ;6GB/1TB/Radeon;1920;1080
HP;Workstation;15.6;8.0;8.0;2.0;2249.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6820HQ;2.7;Windows;10;Nvidia;Quadro M1000M;ZBook Studio;;1920;1080
Dell;Ultrabook;13.3;16.0;1024.0;1.2;2254.0;Touchscreen / Quad HD+;3200x1800;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;XPS 13;;3200;1800
Lenovo;2 in 1 Convertible;14.0;16.0;512.0;2.8;2440.0;Touchscreen / IPS Panel;2560x1440;True;Intel Core i7 6600U;2.6;Windows;10;Intel;HD Graphics 520;ThinkPad X1;;2560;1440
Lenovo;2 in 1 Convertible;10.1;4.0;64.0;0.69;319.0;Touchscreen / IPS Panel;1920x1200;True;Intel Atom x5-Z8550;1.44;Android;;Intel;HD Graphics 400;Yoga Book;;1920;1200
Lenovo;Notebook;15.6;8.0;1024.0;2.6;899.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;10;Nvidia;GeForce GTX 960M;IdeaPad Y700-15ISK;;1920;1080
Dell;Notebook;15.6;6.0;1024.0;2.3;459.0;;1366x768;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;Inspiron 3567;;1366;768
Huawei;Ultrabook;13.0;8.0;512.0;1.05;1499.0;IPS Panel / Full HD;2160x1440;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;MateBook X;;2160;1440
Toshiba;Notebook;13.3;8.0;256.0;1.05;1672.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Portege X30-D-10J;;1920;1080
HP;Netbook;12.5;8.0;512.0;0.97;1908.0;Full HD;1920x1080;False;Intel Core M 6Y75;1.2;Windows;10;Intel;HD Graphics 515;EliteBook Folio;;1920;1080
Lenovo;Notebook;15.6;4.0;128.0;2.3;565.0;;1366x768;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;ThinkPad E570;;1366;768
HP;Ultrabook;14.0;8.0;256.0;1.54;1887.21;Full HD;1920x1080;False;Intel Core i7 6500U;2.5;Windows;10;Intel;HD Graphics 520;EliteBook 840;;1920;1080
Lenovo;Gaming;15.6;16.0;256.0;2.5;1179.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050 Ti;Legion Y520-15IKBN;;1920;1080
HP;Notebook;15.6;8.0;256.0;2.04;1018.99;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Nvidia;GeForce 930MX;ProBook 450;;1920;1080
Lenovo;2 in 1 Convertible;10.1;4.0;64.0;0.69;646.27;Touchscreen / IPS Panel;1920x1200;True;Intel Atom x5-Z8550;1.44;Windows;10;Intel;HD Graphics 400;Yoga Book;;1920;1200
HP;Notebook;15.6;8.0;256.0;1.91;579.0;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;15-bs025nv ;i5-7200U/8GB/256GB/W10;1366;768
HP;Notebook;15.6;4.0;500.0;2.07;910.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Probook 450;;1920;1080
Lenovo;Notebook;15.6;32.0;1024.0;2.5;4899.0;IPS Panel / 4K Ultra HD;3840x2160;False;Intel Xeon E3-1535M v6;3.1;Windows;10;Nvidia;Quadro M2200M;Thinkpad P51;;3840;2160
Lenovo;Notebook;13.3;4.0;180.0;1.44;735.0;IPS Panel / Full HD;1920x1080;False;Intel Core i3 7100U;2.4;Windows;10;Intel;HD Graphics 620;Thinkpad 13;;1920;1080
Lenovo;2 in 1 Convertible;13.9;8.0;256.0;1.38;1349.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Yoga 910-13IKB;;1920;1080
Xiaomi;Ultrabook;13.3;8.0;256.0;1.28;935.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Nvidia;GeForce 940MX;Mi Notebook;;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.2;469.0;;1366x768;False;Intel Core i3 6006U;2.0;Windows;10;Nvidia;GeForce GTX 940MX;Aspire 5;;1366;768
Toshiba;Ultrabook;13.3;8.0;256.0;1.2;1590.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Portg Z30-C-16K;;1920;1080
Lenovo;Notebook;15.6;8.0;128.0;1.9;813.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;AMD;R17M;V310-15IKB ;8GB/1TB;1920;1080
Lenovo;Ultrabook;12.5;8.0;256.0;1.36;1584.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad X270;;1920;1080
HP;Notebook;15.6;4.0;128.0;1.86;299.0;;1366x768;False;Intel Celeron Dual Core N3060;1.6;No OS;;Intel;HD Graphics 400;250 G6;;1366;768
Lenovo;Gaming;15.6;8.0;256.0;2.4;869.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;No OS;;Nvidia;GeForce GTX 1050M;Legion Y520-15IKBN;;1920;1080
Dell;Notebook;15.6;8.0;256.0;1.9;1116.99;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Latitude 5580;;1920;1080
Lenovo;Ultrabook;14.0;8.0;256.0;1.32;1859.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad T470s;;1920;1080
Asus;Notebook;15.6;4.0;256.0;2.37;849.9;;1366x768;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Pro P2540UA-XO0192R;;1366;768
MSI;Gaming;17.3;8.0;128.0;2.7;1348.48;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050 Ti;GL72M 7REX;;1920;1080
Asus;Gaming;15.6;8.0;128.0;2.5;1265.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050 Ti;GL553VE-FY082T ;8GB/1TB;1920;1080
Lenovo;Notebook;14.0;4.0;508.0;1.7;1002.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;ThinkPad T460;;1366;768
MSI;Gaming;17.3;16.0;256.0;2.8;2249.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1070;GE73VR 7RF;;1920;1080
Dell;Notebook;14.0;8.0;256.0;1.6;859.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Vostro 5468;;1920;1080
Lenovo;Gaming;15.6;8.0;1024.0;2.5;1017.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7300HQ;2.5;No OS;;Nvidia;GeForce GTX 1050;Legion Y520-15IKBN;;1920;1080
Lenovo;Notebook;15.6;4.0;1024.0;2.2;306.0;;1366x768;False;Intel Celeron Dual Core N3350;1.1;Windows;10;Intel;HD Graphics 500;IdeaPad 320-15IAP;;1366;768
HP;Workstation;15.6;8.0;256.0;2.0;1899.0;Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;7;Nvidia;Quadro M1000M;ZBook Studio;;1920;1080
Asus;Ultrabook;14.0;8.0;512.0;1.1;1873.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Zenbook 3;;1920;1080
HP;Notebook;14.0;8.0;2048.0;1.94;389.0;;1366x768;False;Intel Pentium Quad Core N3710;1.6;Windows;10;Intel;HD Graphics 405;14-am079na ;N3710/8GB/2TB/W10;1366;768
Acer;Notebook;15.6;4.0;1024.0;2.1;348.0;;1366x768;False;Intel Celeron Dual Core N3350;1.1;Windows;10;Intel;HD Graphics 500;Aspire A315-31;;1366;768
Asus;Notebook;14.0;4.0;32.0;1.5;278.0;;1366x768;False;Intel Celeron Dual Core N3350;1.1;Windows;10;Intel;HD Graphics 500;L403NA-GA013TS ;N3350/4GB/32GB/W10;1366;768
Asus;Gaming;15.6;8.0;1024.0;2.2;1169.0;Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;10;Nvidia;GeForce GTX 1060;FX502VM-DM105T ;8GB/1TB/GeForce;1920;1080
Lenovo;Notebook;15.6;4.0;128.0;2.05;630.0;Full HD;1920x1080;False;Intel Core i3 7130U;2.7;Windows;10;Intel;HD Graphics 620;V330-15IKB ;i3-7130U/4GB/128GB/FHD/W10;1920;1080
HP;2 in 1 Convertible;13.3;8.0;256.0;1.48;1799.0;Touchscreen;2560x1440;True;Intel Core i7 6600U;2.6;Windows;10;Intel;HD Graphics 520;Spectre Pro;;2560;1440
HP;Notebook;15.6;8.0;256.0;1.84;1144.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Elitebook 850;;1920;1080
Acer;Notebook;15.6;4.0;500.0;2.1;333.0;;1366x768;False;Intel Celeron Dual Core N3350;2.0;Windows;10;Intel;HD Graphics 500;Aspire 3;;1366;768
Lenovo;Notebook;17.3;4.0;500.0;2.8;379.0;;1600x900;False;AMD A4-Series 7210;2.2;Windows;10;AMD;Radeon R3;IdeaPad 110-17ACL;;1600;900
Lenovo;Gaming;15.6;8.0;1024.0;3.2;1299.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;Legion Y720-15IKB;;1920;1080
HP;Notebook;15.6;4.0;500.0;1.86;258.0;;1366x768;False;AMD E-Series E2-9000e;1.5;No OS;;AMD;Radeon R2;255 G6;;1366;768
Acer;Netbook;11.6;4.0;32.0;1.4;269.0;;1366x768;False;Intel Celeron Dual Core N3050;1.6;Windows;10;Intel;HD Graphics;TravelMate B117-M;;1366;768
Lenovo;Ultrabook;14.0;8.0;512.0;1.13;2499.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Thinkpad X1;;1920;1080
Dell;Notebook;15.6;16.0;512.0;2.06;2397.0;Touchscreen / 4K Ultra HD;3840x2160;True;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;XPS 15;;3840;2160
Lenovo;Notebook;14.0;8.0;256.0;1.5;1099.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Nvidia;GeForce 940MX;IdeaPad 720S-14IKB;;1920;1080
Asus;Notebook;14.0;8.0;256.0;2.0;945.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Zenbook UX410UA-GV027T;;1920;1080
Acer;Ultrabook;14.0;8.0;256.0;1.8;919.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;Graphics 620;Swift 3;;1920;1080
Mediacom;Notebook;13.3;4.0;32.0;1.2;369.0;IPS Panel / Full HD;1920x1080;False;Intel Celeron Quad Core N3450;1.1;Windows;10;Intel;HD Graphics 500;SmartBook Edge;;1920;1080
Dell;Notebook;15.6;12.0;1024.0;2.3;713.07;;1366x768;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Inspiron 5567;;1366;768
Asus;Notebook;15.6;4.0;1024.0;2.0;389.0;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Linux;;Intel;HD Graphics 620;X540UA-DM186 ;i3-6006U/4GB/1TB/FHD/Linux;1920;1080
Lenovo;Notebook;17.3;8.0;1024.0;2.8;519.0;;1600x900;False;AMD A6-Series 9220;2.5;Windows;10;AMD;Radeon R4;IdeaPad 320-15AST;;1600;900
Lenovo;2 in 1 Convertible;13.3;16.0;512.0;1.3;1499.0;Touchscreen / IPS Panel / Quad HD+;3200x1800;True;Intel Core i7 6500U;2.5;Windows;10;Intel;HD Graphics 520;Yoga 900-13ISK;;3200;1800
Asus;Notebook;15.6;8.0;256.0;2.37;1099.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Pro P2540UA-XS51;;1920;1080
Lenovo;Notebook;15.6;4.0;128.0;2.2;369.0;;1366x768;False;Intel Core i3 6006U;2.0;No OS;;Intel;HD Graphics 520;IdeaPad 320-15ISK;;1366;768
HP;Notebook;14.0;8.0;1024.0;1.63;812.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;Probook 440;;1920;1080
Dell;Notebook;13.3;8.0;1024.0;1.62;649.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Inspiron 5368;;1920;1080
HP;Notebook;15.6;6.0;1024.0;2.04;549.99;Full HD;1920x1080;False;AMD A9-Series 9410;2.9;Windows;10;AMD;Radeon R7 M440;Pavilion 15-AW003nv;;1920;1080
HP;Notebook;13.3;8.0;512.0;1.49;959.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Intel;UHD Graphics 620;ProBook 430;;1920;1080
Xiaomi;Ultrabook;13.3;8.0;256.0;1.3;999.9;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;No OS;;Nvidia;GeForce MX150;Mi Notebook;;1920;1080
Vero;Notebook;14.0;4.0;32.0;1.22;202.9;;1920x1080;False;Intel Celeron Dual Core N3350;1.1;Windows;10;Intel;HD Graphics 500;K146 ;N3350/4GB/32GB/W10;1920;1080
MSI;Gaming;15.6;8.0;256.0;2.4;1199.0;Full HD;1920x1080;False;Intel Core i5 7300HQ;2.5;Windows;10;Nvidia;GeForce GTX 1050;GL62M 7RD;;1920;1080
HP;Notebook;15.6;6.0;128.0;1.91;568.9;IPS Panel / Full HD;1920x1080;False;AMD A10-Series A10-9620P;2.5;Windows;10;AMD;Radeon 530;15-bw007nv ;6GB/128GB/Radeon;1920;1080
Dell;Notebook;15.6;4.0;500.0;2.24;737.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;Vostro 3559;;1366;768
HP;Ultrabook;12.5;8.0;256.0;1.26;1199.0;Full HD;1920x1080;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;EliteBook 820;;1920;1080
Acer;Notebook;15.6;8.0;1024.0;2.4;779.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Linux;;Nvidia;GeForce GTX 1050;Aspire 7;;1920;1080
Asus;2 in 1 Convertible;11.6;2.0;32.0;1.1;275.0;Touchscreen;1366x768;True;Intel Celeron Dual Core N3350;1.1;Windows;10;Intel;HD Graphics 500;VivoBook Flip;;1366;768
Toshiba;Ultrabook;14.0;16.0;512.0;1.24;1865.0;Touchscreen / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Tecra X40-D-10H;;1920;1080
Lenovo;Notebook;15.6;8.0;256.0;1.95;1097.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 630;Thinkpad T570;;1920;1080
Dell;Notebook;15.6;4.0;1024.0;2.18;558.6;;1366x768;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;Vostro 3568;;1366;768
Asus;Notebook;15.6;4.0;256.0;2.0;559.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Linux;;Intel;HD Graphics 620;VivoBook Max;;1920;1080
HP;Gaming;15.6;12.0;128.0;2.62;1249.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1050;Omen 15-ce007nv;;1920;1080
Dell;Notebook;15.6;4.0;256.0;2.2;498.9;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Windows;10;AMD;Radeon R5 M430;Inspiron 3567;;1920;1080
Lenovo;Notebook;15.6;6.0;1024.0;2.4;499.0;Full HD;1920x1080;False;AMD A10-Series 9600P;2.4;Windows;10;AMD;Radeon R5 430;IdeaPad 310-15ABR;;1920;1080
Dell;Notebook;15.6;8.0;256.0;1.93;1369.0;Full HD;1920x1080;False;Intel Core i7 7600U;2.8;Windows;10;Nvidia;GeForce 930MX;Latitude 5580;;1920;1080
Asus;Gaming;17.3;32.0;256.0;3.58;1279.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6820HK;2.7;Windows;10;Nvidia;GeForce GTX 980M;G701VO-IH74K ;32GB/2x;1920;1080
Asus;2 in 1 Convertible;15.6;12.0;2048.0;2.3;839.0;Touchscreen / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Nvidia;GeForce 940MX;Q524UQ-BHI7T15 ;12GB/2TB/GeForce;1920;1080
Acer;Gaming;17.3;16.0;128.0;4.2;1935.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;10;Nvidia;GeForce GTX 1060;Predator 17;;1920;1080
Dell;Gaming;15.6;16.0;1024.0;2.59;879.01;Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;10;Nvidia;GeForce GTX 960;Inspiron 7559;;1920;1080
HP;2 in 1 Convertible;13.3;8.0;256.0;1.28;2277.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;EliteBook x360;;1920;1080
Dell;Ultrabook;14.0;8.0;256.0;1.36;1639.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Latitude 7480;;1920;1080
Acer;2 in 1 Convertible;11.6;4.0;32.0;1.25;389.0;Touchscreen / IPS Panel;1366x768;True;Intel Celeron Dual Core N3060;1.6;Chrome OS;;Intel;HD Graphics 400;Chromebook C738T-C2EJ;;1366;768
HP;Workstation;17.3;8.0;1024.0;3.0;2899.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6700HQ;2.6;Windows;7;AMD;FirePro W6150M;ZBook 17;;1920;1080
HP;Notebook;13.3;4.0;256.0;1.32;699.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Envy 13-AD007nv;;1920;1080
Dell;Gaming;17.3;32.0;512.0;4.42;3147.37;IPS Panel / 4K Ultra HD;3840x2160;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1070;Alienware 17;;3840;2160
Dell;Notebook;15.6;8.0;1024.0;2.2;675.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;AMD;Radeon 520;Inspiron 3576;;1920;1080
Dell;Ultrabook;12.5;8.0;256.0;1.5;1413.1;;1366x768;False;Intel Core i5 6200U;2.3;Windows;7;Intel;HD Graphics 520;Latitude E5270;;1366;768
Lenovo;Notebook;15.6;8.0;256.0;2.3;1529.0;IPS Panel / Full HD;1920x1080;False;Intel Core i7 6600U;2.6;Windows;10;Intel;HD Graphics 520;Thinkpad T560;;1920;1080
Asus;2 in 1 Convertible;13.3;8.0;256.0;1.1;1358.0;Touchscreen / Full HD;1920x1080;True;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;ZenBook Flip;;1920;1080
HP;Notebook;15.6;6.0;1024.0;2.19;764.0;;1366x768;False;Intel Core i7 6500U;2.5;Windows;10;AMD;Radeon R5 M330;15-AC110nv ;6GB/1TB/Radeon;1366;768
Dell;Gaming;17.3;16.0;256.0;4.42;2456.34;IPS Panel / Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;GeForce GTX 1060;Alienware 17;;1920;1080
Acer;Notebook;15.6;12.0;1024.0;2.15;659.0;Touchscreen / IPS Panel / Full HD;1920x1080;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;SP315-51 ;i7-7500U/12GB/1TB/FHD/W10;1920;1080
Asus;Notebook;15.6;8.0;1024.0;2.37;749.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Pro P2540UA-AB51;;1920;1080
HP;2 in 1 Convertible;13.3;16.0;256.0;1.42;1399.0;Touchscreen / Quad HD+;3200x1800;True;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;Envy x360;;3200;1800
Lenovo;Notebook;15.6;4.0;128.0;2.1;493.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;V110-15ISK ;i5-6200U/4GB/128GB/W10;1366;768
HP;Notebook;17.3;8.0;1024.0;2.5;896.0;Full HD;1920x1080;False;Intel Core i5 8250U;1.6;Windows;10;Nvidia;GeForce 930MX;ProBook 470;;1920;1080
Dell;Notebook;15.6;4.0;256.0;2.18;739.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;AMD;Radeon R5 M420;Vostro 3568;;1920;1080
Dell;Ultrabook;13.3;8.0;256.0;1.29;1458.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;XPS 13;;1920;1080
Acer;Notebook;15.6;4.0;16.0;2.2;359.0;IPS Panel / Full HD;1920x1080;False;Intel Celeron Dual Core 3205U;1.5;Chrome OS;;Intel;HD Graphics;Chromebook CB5-571-C1DZ;;1920;1080
Asus;Notebook;15.6;4.0;1024.0;2.0;449.0;;1366x768;False;Intel Pentium Quad Core N4200;1.1;Windows;10;Intel;HD Graphics 505;X541NA ;N4200/4GB/1TB/W10;1366;768
Dell;Notebook;15.6;8.0;256.0;2.33;899.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;AMD;Radeon R7 M445;Inspiron 5567;;1920;1080
